Longitude,Latitude,Trend,P-Value
32.5000,52.5000,0.00000e+00,9.99000e+33
32.5000,57.5000,0.00000e+00,9.99000e+33
32.5000,62.5000,0.00000e+00,9.99000e+33
32.5000,67.5000,0.00000e+00,9.99000e+33
32.5000,72.5000,0.00000e+00,9.99000e+33
32.5000,77.5000,0.00000e+00,9.99000e+33
32.5000,82.5000,0.00000e+00,9.99000e+33
32.5000,87.5000,0.00000e+00,9.99000e+33
37.5000,-87.5000,0.00000e+00,9.99000e+33
37.5000,-82.5000,0.00000e+00,9.99000e+33
37.5000,-77.5000,0.00000e+00,9.99000e+33
37.5000,-72.5000,0.00000e+00,9.99000e+33
37.5000,-67.5000,-1.73018e-06,8.27490e-01
37.5000,-62.5000,5.05725e-06,8.51315e-01
37.5000,-57.5000,2.79480e-05,5.90089e-01
37.5000,-52.5000,6.98660e-05,5.19715e-01
37.5000,-47.5000,-2.99567e-05,4.53845e-01
37.5000,-42.5000,-5.43021e-04,3.14069e-02
37.5000,-37.5000,-1.56342e-03,3.55537e-03
37.5000,-32.5000,-3.03286e-03,5.60595e-03
37.5000,-27.5000,-7.14674e-03,2.68587e-02
37.5000,-22.5000,-1.09196e-02,1.89299e-02
37.5000,-17.5000,-8.25035e-03,1.21508e-01
37.5000,-12.5000,-4.16277e-03,1.71673e-01
37.5000,-7.5000,-2.48909e-03,2.29466e-02
37.5000,-2.5000,-9.84094e-04,1.50943e-02
37.5000,2.5000,-1.16326e-04,1.76118e-01
37.5000,7.5000,-3.06075e-06,7.96953e-01
37.5000,12.5000,3.19433e-06,8.74085e-01
37.5000,17.5000,3.99278e-06,7.15295e-01
37.5000,22.5000,0.00000e+00,9.99000e+33
37.5000,27.5000,2.02286e-05,5.09097e-01
37.5000,32.5000,5.49633e-05,2.98182e-01
37.5000,37.5000,4.85753e-05,3.07631e-01
37.5000,42.5000,1.31751e-05,5.55631e-01
37.5000,47.5000,-6.65482e-07,9.37469e-01
37.5000,52.5000,0.00000e+00,9.99000e+33
37.5000,57.5000,0.00000e+00,9.99000e+33
37.5000,62.5000,0.00000e+00,9.99000e+33
37.5000,67.5000,0.00000e+00,9.99000e+33
37.5000,72.5000,0.00000e+00,9.99000e+33
37.5000,77.5000,0.00000e+00,9.99000e+33
37.5000,82.5000,0.00000e+00,9.99000e+33
37.5000,87.5000,0.00000e+00,9.99000e+33
42.5000,-87.5000,0.00000e+00,9.99000e+33
42.5000,-82.5000,0.00000e+00,9.99000e+33
42.5000,-77.5000,0.00000e+00,9.99000e+33
42.5000,-72.5000,0.00000e+00,9.99000e+33
42.5000,-67.5000,-3.19436e-06,6.76404e-01
42.5000,-62.5000,4.65790e-06,7.94713e-01
42.5000,-57.5000,2.22251e-05,7.79253e-01
42.5000,-52.5000,-2.39609e-05,5.23083e-01
42.5000,-47.5000,-3.40851e-04,2.16600e-02
42.5000,-42.5000,-1.23107e-03,2.81479e-03
42.5000,-37.5000,-2.58615e-03,4.47532e-03
42.5000,-32.5000,-3.98797e-03,2.68587e-02
42.5000,-27.5000,-7.30868e-03,7.52161e-03
42.5000,-22.5000,-1.39194e-02,3.12946e-04
42.5000,-17.5000,-1.68463e-02,2.69828e-03
42.5000,-12.5000,-1.37975e-02,5.00656e-03
42.5000,-7.5000,-9.60228e-03,1.18908e-03
42.5000,-2.5000,-4.17942e-03,1.40751e-03
42.5000,2.5000,-5.59915e-04,1.02629e-01
42.5000,7.5000,-2.06825e-04,3.91273e-01
42.5000,12.5000,-1.96167e-04,4.75737e-01
42.5000,17.5000,-7.46561e-05,4.39415e-01
42.5000,22.5000,7.58632e-06,7.24520e-01
42.5000,27.5000,-7.18613e-06,1.00000e+00
42.5000,32.5000,-1.19776e-05,7.60297e-01
42.5000,37.5000,-2.39552e-06,7.60297e-01
42.5000,42.5000,0.00000e+00,9.99000e+33
42.5000,47.5000,0.00000e+00,9.99000e+33
42.5000,52.5000,0.00000e+00,9.99000e+33
42.5000,57.5000,0.00000e+00,9.99000e+33
42.5000,62.5000,0.00000e+00,9.99000e+33
42.5000,67.5000,0.00000e+00,9.99000e+33
42.5000,72.5000,0.00000e+00,9.99000e+33
42.5000,77.5000,0.00000e+00,9.99000e+33
42.5000,82.5000,0.00000e+00,9.99000e+33
42.5000,87.5000,0.00000e+00,9.99000e+33
47.5000,-87.5000,0.00000e+00,9.99000e+33
47.5000,-82.5000,0.00000e+00,9.99000e+33
47.5000,-77.5000,0.00000e+00,9.99000e+33
47.5000,-72.5000,0.00000e+00,9.99000e+33
47.5000,-67.5000,-4.79171e-06,9.70621e-01
47.5000,-62.5000,-3.32859e-06,8.17913e-01
47.5000,-57.5000,-1.05163e-05,4.18774e-01
47.5000,-52.5000,-1.55580e-04,2.25991e-02
47.5000,-47.5000,-5.54310e-04,1.20032e-03
47.5000,-42.5000,-1.40765e-03,1.74014e-03
47.5000,-37.5000,-2.95512e-03,5.82125e-03
47.5000,-32.5000,-5.01726e-03,1.07029e-02
47.5000,-27.5000,-8.62262e-03,2.59617e-03
47.5000,-22.5000,-1.72817e-02,7.24881e-05
47.5000,-17.5000,-2.75681e-02,1.02189e-06
47.5000,-12.5000,-3.09292e-02,8.06619e-06
47.5000,-7.5000,-2.30555e-02,5.39922e-06
47.5000,-2.5000,-8.99017e-03,2.98382e-04
47.5000,2.5000,-1.29675e-03,1.18795e-01
47.5000,7.5000,-4.62573e-04,3.90443e-01
47.5000,12.5000,-3.05474e-04,6.80843e-01
47.5000,17.5000,-6.21297e-05,1.00000e+00
47.5000,22.5000,1.19531e-04,1.79871e-01
47.5000,27.5000,4.84491e-05,3.28851e-01
47.5000,32.5000,-1.22435e-05,6.98937e-01
47.5000,37.5000,-4.79104e-06,7.60297e-01
47.5000,42.5000,0.00000e+00,9.99000e+33
47.5000,47.5000,0.00000e+00,9.99000e+33
47.5000,52.5000,0.00000e+00,9.99000e+33
47.5000,57.5000,0.00000e+00,9.99000e+33
47.5000,62.5000,0.00000e+00,9.99000e+33
47.5000,67.5000,0.00000e+00,9.99000e+33
47.5000,72.5000,0.00000e+00,9.99000e+33
47.5000,77.5000,0.00000e+00,9.99000e+33
47.5000,82.5000,0.00000e+00,9.99000e+33
47.5000,87.5000,0.00000e+00,9.99000e+33
52.5000,-87.5000,0.00000e+00,9.99000e+33
52.5000,-82.5000,0.00000e+00,9.99000e+33
52.5000,-77.5000,0.00000e+00,9.99000e+33
52.5000,-72.5000,3.46052e-06,8.27490e-01
52.5000,-67.5000,1.09137e-05,9.84534e-01
52.5000,-62.5000,-1.92977e-05,3.86369e-01
52.5000,-57.5000,-1.09397e-04,4.86644e-02
52.5000,-52.5000,-2.38884e-04,5.62048e-02
52.5000,-47.5000,-5.71588e-04,6.60349e-02
52.5000,-42.5000,-1.28558e-03,2.44687e-02
52.5000,-37.5000,-2.70781e-03,2.02190e-02
52.5000,-32.5000,-5.68117e-03,1.65894e-03
52.5000,-27.5000,-1.15742e-02,1.53065e-04
52.5000,-22.5000,-2.34200e-02,5.73324e-06
52.5000,-17.5000,-4.26893e-02,5.21387e-08
52.5000,-12.5000,-5.34465e-02,1.49957e-08
52.5000,-7.5000,-3.75021e-02,1.15515e-06
52.5000,-2.5000,-1.23920e-02,1.31946e-04
52.5000,2.5000,-2.07543e-03,3.57976e-01
52.5000,7.5000,-1.05589e-03,5.69688e-01
52.5000,12.5000,1.71577e-04,9.80697e-01
52.5000,17.5000,9.32166e-04,4.24620e-01
52.5000,22.5000,5.85523e-04,7.34418e-02
52.5000,27.5000,1.56004e-04,2.98657e-01
52.5000,32.5000,1.17127e-05,5.27568e-01
52.5000,37.5000,-2.39552e-06,7.60297e-01
52.5000,42.5000,0.00000e+00,9.99000e+33
52.5000,47.5000,0.00000e+00,9.99000e+33
52.5000,52.5000,0.00000e+00,9.99000e+33
52.5000,57.5000,0.00000e+00,9.99000e+33
52.5000,62.5000,0.00000e+00,9.99000e+33
52.5000,67.5000,0.00000e+00,9.99000e+33
52.5000,72.5000,0.00000e+00,9.99000e+33
52.5000,77.5000,0.00000e+00,9.99000e+33
52.5000,82.5000,0.00000e+00,9.99000e+33
52.5000,87.5000,0.00000e+00,9.99000e+33
57.5000,-87.5000,0.00000e+00,9.99000e+33
57.5000,-82.5000,0.00000e+00,9.99000e+33
